Country/Territory,GDP(US$million),Rank
World[19],"87,265,226",
United States,"21,439,453",1
European Union[23][n 1],"18,705,132",—
China[n 2],"14,140,163",2
Japan,"5,154,475",3
Germany,"3,863,344",4
India,"2,935,570",5
United Kingdom,"2,743,586",6
France,"2,707,074",7
Italy,"1,988,636",8
Brazil,"1,847,020",9
Canada,"1,730,914",10
Russia[n 3],"1,637,892",11
"Korea, South","1,629,532",12
Spain,"1,397,870",13
Australia,"1,376,255",14
Mexico,"1,274,175",15
Indonesia,"1,111,713",16
Netherlands,"902,355",17
Saudi Arabia,"779,289",18
Turkey,"743,708",19
Switzerland,"715,360",20
Taiwan,"586,104",—
Poland,"565,854",21
Thailand,"529,177",22
Sweden,"528,929",23
Belgium,"517,609",24
Iran,"458,500",25
Austria,"447,718",26
Nigeria,"446,543",27
Argentina,"445,469",28
Norway,"417,627",29
United Arab Emirates,"405,771",30
Israel,"387,717",31
Ireland,"384,940",32
Hong Kong,"372,989",—
Malaysia,"365,303",33
Singapore,"362,818",34
South Africa,"358,839",35
Philippines,"356,814",36
Denmark,"347,176",37
Colombia,"327,895",38
Bangladesh,"317,465",39
Egypt,"302,256",40
Chile,"294,237",41
Pakistan,"284,214",42
Finland,"269,654",43
Vietnam,"261,637",44
Czech Republic,"246,953",45
Romania,"243,698",46
Portugal,"236,408",47
Peru,"228,989",48
Iraq,"224,462",49
Greece,"214,012",50
New Zealand,"204,671",51
Qatar,"191,849",52
Algeria,"172,781",53
Hungary,"170,407",54
Kazakhstan,"170,326",55
Ukraine,"150,401",56
Kuwait,"137,591",57
Morocco,"119,040",58
Ecuador,"107,914",59
Slovakia,"106,552",60
Puerto Rico,"99,913",—
Kenya,"98,607",61
Angola,"91,527",62
Ethiopia,"91,166",63
Dominican Republic,"89,475",64
Sri Lanka,"86,566",65
Guatemala,"81,318",66
Oman,"76,609",67
Venezuela,"70,140",68
Luxembourg,"69,453",69
Panama,"68,536",70
Ghana,"67,077",71
Bulgaria,"66,250",72
Myanmar,"65,994",73
Tanzania,"62,224",74
Belarus,"62,572",75
Costa Rica,"61,021",76
Croatia,"60,702",77
Uzbekistan,"60,490",78
Syria[n 4],"60,043/Na",79
Uruguay,"59,918",80
Lebanon,"58,565",81
Macau,"55,136",—
Slovenia,"54,154",82
Lithuania,"53,641",83
Serbia,"51,523",84
"Congo, Democratic Republic of the","48,994",85
Azerbaijan,"47,171",86
Turkmenistan,"46,674",87
Côte d'Ivoire,"44,439",88
Jordan,"44,172",89
Bolivia,"42,401",90
Paraguay,"40,714",91
Tunisia,"38,732",92
Cameroon,"38,632",93
Bahrain,"38,184",94
Latvia,"35,045",95
Libya,"33,018",96
Estonia,"31,038",97
Sudan,"30,873",98
Uganda,"30,666",99
Yemen,"29,855",100
Nepal,"29,813",101
El Salvador,"26,871",102
Cambodia,"26,730",103
Honduras,"24,449",104
Cyprus,"24,280",105
Zambia,"23,946",106
Senegal,"23,940",107
Iceland,"23,918",108
Papua New Guinea,"23,587",109
Trinidad and Tobago,"22,607",110
Bosnia and Herzegovina,"20,106",111
Laos,"19,127",112
Afghanistan,"18,734",113
Botswana,"18,690",114
Mali,"17,647",115
Gabon,"16,877",117
Georgia,"15,925",116
Jamaica,"15,702",118
Albania,"15,418",119
Mozambique,"15,093",120
Malta,"14,859",121
Burkina Faso,"14,593",122
Mauritius,"14,391",123
Benin,"14,374",124
Namibia,"14,368",125
Mongolia,"13,637",126
Armenia,"13,444",127
Guinea,"13,368",128
Zimbabwe,"12,818",129
North Macedonia,"12,672",130
"Bahamas, The","12,664",131
Madagascar,"12,550",132
Nicaragua,"12,528",133
Brunei,"12,455",134
Equatorial Guinea,"12,142",135
Moldova,"11,688",136
"Congo, Republic of the","11,576",137
Chad,"11,026",138
Rwanda,"10,209",139
Niger,"9,443",140
Haiti,"8,819",141
Kyrgyzstan,"8,261",142
Tajikistan,"8,152",143
Kosovo,"7,996",—
Malawi,"7,522",144
Maldives,"5,786",145
Togo,"5,502",146
Mauritania,"5,651",147
Montenegro,"5,424",148
Fiji,"5,708",149
Barbados,"5,189",150
Somalia,"4,958",151
Eswatini,"4,657",152
Sierra Leone,"4,229",153
Guyana,"4,121",154
Suriname,"3,774",155
South Sudan,"3,681",156
Burundi,"3,573",157
Liberia,"3,221",158
Djibouti,"3,166",159
Timor-Leste,"2,938",160
Aruba,"2,903",—
Bhutan,"2,842",161
Lesotho,"2,741",162
Central African Republic,"2,321",163
Eritrea,"2,110",164
Belize,"2,001",165
St. Lucia,"1,992",166
Gambia,"1,773",167
Antigua and Barbuda,"1,688",168
Seychelles,"1,644",169
San Marino,"1,591",170
Solomon Islands,"1,440",171
Grenada,"1,238",172
Comoros,"1,179",173
St. Kitts and Nevis,"1,032",174
Vanuatu,951,175
Samoa,905,176
St. Vincent and the Grenadines,856,177
Dominica,593,178
Tonga,488,179
São Tomé and Príncipe,430,180
"Micronesia, Federated States of",381,181
Palau,291,182
Marshall Islands,220,183
Kiribati,184,184
Nauru,108,185
Tuvalu,42,186
