Country/Territory,GDP(US$million),Rank
World[25],"80,501,413",
United States,"19,485,394",1
China[n 5],"12,234,781",2
Japan,"4,872,415",3
Germany,"3,693,204",4
United Kingdom,"2,631,228",5
France,"2,582,492",6
India,"2,575,666",7
Brazil,"2,055,512",8
Italy,"1,943,835",9
Canada,"1,647,120",10
"Korea, South","1,577,524",11
Russia[n 3],"1,530,750",12
Australia,"1,408,675",13
Spain,"1,314,314",14
Mexico,"1,158,229",15
Indonesia,"1,015,539",16
Turkey,"851,541",17
Netherlands,"830,572",18
Saudi Arabia,"683,827",19
Switzerland,"678,938",20
Argentina,"637,486",21
Taiwan,"579,865",—
Sweden,"535,607",22
Poland,"526,211",23
Belgium,"494,763",24
Iran,"460,976",25
Thailand,"455,302",26
Austria,"416,835",27
Norway,"399,470",28
United Arab Emirates,"382,575",29
Nigeria,"375,769",30
Israel,"353,268",31
South Africa,"348,872",32
Hong Kong,"341,659",—
Ireland,"331,430",33
Denmark,"329,865",34
Singapore,"323,901",35
Malaysia,"314,707",36
Philippines,"313,595",37
Colombia,"309,191",38
Pakistan,"302,139",39
Chile,"277,080",40
Venezuela,"255,092",41
Bangladesh,"254,646",42
Finland,"252,246",43
Vietnam,"223,779",44
Czech Republic,"215,824",45
Romania,"211,803",46
Peru,"211,402",47
Greece,"203,085",48
New Zealand,"202,044",49
Egypt,"195,135",50
Portugal,"195,041",51
Iraq,"182,023",52
Qatar,"167,605",53
Algeria,"167,555",54
Kazakhstan,"159,406",55
Hungary,"139,761",56
Angola,"126,505",57
Sudan,"120,265",58
Kuwait,"119,534",59
Ukraine,"112,154",60
Morocco,"109,708",61
Ecuador,"104,295",62
Puerto Rico,"104,218",—
Cuba,"96,851",63
Slovakia,"95,617",64
Sri Lanka,"87,356",65
Dominican Republic,"75,931",66
Guatemala,"75,619",67
Ethiopia,"75,605",68
Kenya,"74,938",69
Oman,"70,783",70
Myanmar,"67,101",71
Luxembourg,"62,316",72
Panama,"61,838",73
Uruguay,"59,180",74
Ghana,"58,996",75
Bulgaria,"58,222",76
Costa Rica,"57,564",77
Croatia,"55,201",78
Belarus,"54,441",79
Lebanon,"53,393",80
Tanzania,"52,090",81
Macau,"50,361",—
Uzbekistan,"49,677",82
Slovenia,"48,455",83
Lithuania,"47,544",84
Serbia,"41,589",85
Azerbaijan,"40,748",86
Jordan,"40,708",87
Tunisia,"40,068",88
Côte d'Ivoire,"38,054",89
Turkmenistan,"37,915",90
"Congo, Democratic Republic of the","37,642",91
Bolivia,"37,508",92
Bahrain,"35,325",93
Cameroon,"34,924",94
Latvia,"30,463",95
Paraguay,"29,435",96
Yemen,"27,956",97
Uganda,"27,698",98
Estonia,"25,921",99
Zambia,"25,868",100
Libya,"25,127",101
Nepal,"24,870",102
El Salvador,"24,805",103
Iceland,"24,476",104
Honduras,"22,978",105
Cambodia,"22,121",106
Trinidad and Tobago,"22,104",107
Cyprus,"22,054",108
Papua New Guinea,"22,005",109
Afghanistan,"21,992",110
Senegal,"21,126",111
Bosnia and Herzegovina,"18,169",112
Zimbabwe,"18,036",113
Botswana,"17,406",114
"Korea, North","17,364",115
Laos,"16,853",116
Mali,"15,235",117
Georgia,"15,159",118
"Palestine, State of","14,498",—
Gabon,"14,623",119
Mozambique,"12,651",120
Equatorial Guinea,"12,487",121
Brunei,"12,128",122
"Congo, Republic of the","11,292",123
Jamaica,"14,826",124
Nicaragua,"13,814",125
Mauritius,"13,366",126
Namibia,"13,244",127
Albania,"13,039",128
Malta,"12,553",129
Burkina Faso,"12,324",130
"Bahamas, The","11,791",131
Armenia,"11,536",132
North Macedonia,"11,279",133
Mongolia,"11,135",134
Chad,"10,716",135
Madagascar,"10,674",136
Guinea,"10,208",137
New Caledonia,"9,894",—
Benin,"9,236",138
Rwanda,"9,136",139
Haiti,"8,521",140
Moldova,"8,128",141
Niger,"8,119",142
Kyrgyzstan,"7,564",143
Kosovo,"7,227",—
Tajikistan,"7,145",144
Monaco,"6,400",145
Malawi,"6,339",146
Liechtenstein,"6,295",147
South Sudan,"5,693",148
French Polynesia,"5,623",—
Bermuda,"5,601",—
Suriname,"5,210",149
Mauritania,"5,092",150
Timor-Leste,"4,970",151
Sierra Leone,"4,893",152
Montenegro,"4,588",153
Togo,"4,576",154
Fiji,"4,532",155
Eswatini,"4,482",156
Barbados,"4,353",157
Eritrea,"3,858",158
Cayman Islands,"3,480",—
Andorra,"3,278",159
Curaçao,"3,159",—
Guyana,"3,086",160
Maldives,"3,032",161
Burundi,"2,869",162
Aruba,"2,664",—
Bhutan,"2,562",163
Greenland,"2,441",—
Liberia,"2,122",164
Lesotho,"2,081",165
Central African Republic,"1,992",166
Belize,"1,902",167
Cape Verde,"1,855",168
Djibouti,"1,844",169
Saint Lucia,"1,718",170
San Marino,"1,689",171
Somalia,"1,535",172
Seychelles,"1,486",173
Zanzibar,"1,391",—
Antigua and Barbuda,"1,248",174
Guinea-Bissau,"1,209",175
Solomon Islands,"1,103",176
Sint Maarten,"1,059",—
British Virgin Islands,902,—
Grenada,884,177
Saint Kitts and Nevis,852,178
"Gambia, The",851,179
Samoa,824,180
Vanuatu,812,181
Turks and Caicos Islands,797,—
Saint Vincent and the Grenadines,729,182
Comoros,648,183
Dominica,533,184
Tonga,435,185
São Tomé and Príncipe,337,186
"Micronesia, Federated States of",308,187
Cook Islands,311,—
Anguilla,311,—
Palau,234,188
Marshall Islands,209,189
Nauru,182,190
Kiribati,180,191
Montserrat,63,—
Tuvalu,38,192
