Country/Territory,GDP(US$million),Rank
World,"85,804,391",
United States,"20,494,100",1
China[n 5],"13,608,152",2
Japan,"4,970,916",3
Germany,"3,996,759",4
United Kingdom,"2,825,208",5
France,"2,777,535",6
India,"2,726,323",7
Italy,"2,073,902",8
Brazil,"1,868,626",9
Canada,"1,712,510",10
Russia[n 3],"1,657,554",11
"Korea, South","1,619,424",12
Australia,"1,432,195",13
Spain,"1,426,189",14
Mexico,"1,223,809",15
Indonesia,"1,042,173",16
Netherlands,"913,658",17
Saudi Arabia,"782,483",18
Turkey,"766,509",19
Switzerland,"705,501",20
Poland,"585,783",21
Taiwan,"574,905 (2017)",—
Sweden,"551,032",22
Belgium,"531,767",23
Argentina,"518,475",24
Thailand,"504,993",25
Austria,"455,737",26
Iran,"454,013 (2017)",27
Norway,"434,751",28
United Arab Emirates,"414,179",29
Nigeria,"397,270",30
Ireland,"382,487",31
Israel,"369,690",32
South Africa,"368,288",33
Singapore,"364,157",34
Hong Kong,"362,993",—
Malaysia,"354,348",35
Denmark,"352,058",36
Philippines,"330,910",37
Colombia,"330,228",38
Pakistan,"312,570",39
Chile,"298,231",40
Bangladesh,"274,025",41
Finland,"273,961",42
Egypt,"250,895",43
Czech Republic,"245,226",44
Vietnam,"244,948",45
Romania,"239,553",46
Portugal,"237,979",47
Iraq,"225,914",48
Peru,"222,238",49
Greece,"218,032",50
New Zealand,"205,025",51
Qatar,"192,009",52
Algeria,"180,689",53
Kazakhstan,"170,539",54
Hungary,"155,703",55
Kuwait,"141,678",56
Ukraine,"130,832",57
Morocco[n 6],"118,495",58
Ecuador,"108,398",59
Slovak Republic,"106,472",60
Angola,"105,751",61
Puerto Rico,"101,131",–
Cuba,"100,023",62
Sri Lanka,"88,901",63
Kenya,"87,908",64
Ethiopia,"84,355",65
Dominican Republic,"81,299",66
Oman,"79,295",67
Guatemala,"78,460",68
Myanmar,"71,215",69
Luxembourg,"69,488",70
Ghana,"65,556",71
Bulgaria,"65,133",72
Panama,"65,055",73
Croatia,"60,806",74
Costa Rica,"60,126",75
Belarus,"59,663",76
Uruguay,"59,597",77
Tanzania[n 7],"57,437",78
Lebanon,"56,639",79
Macau,"54,545",—
Slovenia,"54,235",80
Lithuania,"53,251",81
Serbia,"50,508",82
Uzbekistan,"50,500",83
Libya,"48,320",84
"Congo, Democratic Republic of the","47,228",85
Azerbaijan,"46,940",86
Cote d'Ivoire,"43,007",87
Jordan,"42,291",88
Sudan,"40,852",89
Paraguay,"40,842",90
Turkmenistan,"40,761",91
Bolivia,"40,288",92
Tunisia,"39,861",93
Cameroon,"38,502",94
Bahrain,"37,746",95
Latvia,"34,849",96
Zimbabwe,"31,001",97
Estonia,"30,285",98
Nepal,"28,812",99
Uganda,"27,477",100
Zambia,"26,720",101
El Salvador,"26,057",102
Iceland,"25,882",103
Cambodia,"24,572",104
Cyprus[n 8],"24,470",105
Senegal,"24,130",106
Honduras,"23,803",107
Papua New Guinea,"23,432",108
Trinidad and Tobago,"23,410",109
Bosnia and Herzegovina,"19,782",110
Afghanistan,"19,363",111
Botswana,"18,616",112
Laos,"18,131",113
Mali,"17,197",114
Gabon,"17,017",115
Georgia[n 9],"16,210",116
Jamaica,"15,718",117
Albania,"15,059",118
West Bank and Gaza,"14,616",—
Malta,"14,542",119
Namibia,"14,522",120
Mozambique,"14,458",121
Burkina Faso,"14,442",122
Mauritius,"14,220",123
Brunei,"13,567",124
Equatorial Guinea,"13,317",125
Nicaragua,"13,118",126
Mongolia,"13,010",127
North Macedonia,"12,672",128
Armenia,"12,433",129
"Bahamas, The","12,162 (2017)",130
Madagascar,"12,100",131
Moldova[n 10],"11,309",132
Chad,"11,303",133
"Congo, Republic of the","11,264",134
Guinea,"10,990",135
Benin,"10,359",136
Haiti,"9,658",137
Rwanda,"9,509",138
Niger,"9,240",139
Kyrgyzstan,"8,093",140
Kosovo,"7,900",—
Tajikistan,"7,523",141
Malawi,"7,065",142
Fiji,"5,480",143
Montenegro,"5,452",144
Mauritania,"5,366",145
Togo,"5,300",146
Maldives,"5,272",147
Somalia,"4,721",148
Eswatini,"4,704",149
Barbados,"4,674 (2017)",150
Sierra Leone,"4,000",151
Guyana,"3,610",152
Suriname,"3,427",153
Liberia,"3,249",154
Andorra,"3,237",155
Burundi,"3,078",156
Lesotho,"2,792",157
Timor-Leste,"2,581",158
Bhutan,"2,535",159
Central African Republic,"2,380",160
Cabo Verde,"1,987",161
Djibouti,"1,966",162
Belize,"1,925",163
Saint Lucia,"1,876",164
San Marino,"1,633 (2017)",165
"Gambia, The","1,624",166
Antigua and Barbuda,"1,624",167
Seychelles,"1,590",168
Guinea-Bissau,"1,458",169
Solomon Islands,"1,412",170
Grenada,"1,207",171
Comoros,"1,203",172
Saint Kitts and Nevis,"1,049",173
Vanuatu,888,174
Samoa,861,175
Saint Vincent and the Grenadines,813,176
Dominica,504,177
Tonga,450,178
Sao Tome and Principe,422,179
"Micronesia, Federated States of",345,180
Palau,310,181
Marshall Islands,212,182
Kiribati,188,183
Nauru,115,184
Tuvalu,43,185
